Date,Time (Local),Eyeballs,Zeroes,Completed Trips,Requests,Unique Drivers,DateTime
11-Sep-12,22,26,10,2,6,2,2012-09-11 22:00:00
11-Sep-12,23,15,12,0,3,1,2012-09-11 23:00:00
12-Sep-12,0,9,2,0,1,2,2012-09-12 00:00:00
12-Sep-12,1,6,0,1,1,2,2012-09-12 01:00:00
12-Sep-12,2,3,3,0,1,0,2012-09-12 02:00:00
12-Sep-12,3,2,2,0,0,0,2012-09-12 03:00:00
12-Sep-12,4,1,1,0,0,0,2012-09-12 04:00:00
12-Sep-12,5,1,1,0,1,1,2012-09-12 05:00:00
12-Sep-12,6,7,2,3,4,3,2012-09-12 06:00:00
12-Sep-12,7,10,5,2,5,4,2012-09-12 07:00:00
12-Sep-12,8,28,2,8,8,11,2012-09-12 08:00:00
12-Sep-12,9,25,1,5,6,12,2012-09-12 09:00:00
12-Sep-12,10,25,3,3,4,15,2012-09-12 10:00:00
12-Sep-12,11,29,2,7,8,16,2012-09-12 11:00:00
12-Sep-12,12,32,2,8,8,14,2012-09-12 12:00:00
12-Sep-12,13,23,0,9,9,14,2012-09-12 13:00:00
12-Sep-12,14,25,1,5,6,15,2012-09-12 14:00:00
12-Sep-12,15,26,4,7,11,16,2012-09-12 15:00:00
12-Sep-12,16,27,4,7,7,14,2012-09-12 16:00:00
12-Sep-12,17,19,1,5,7,13,2012-09-12 17:00:00
12-Sep-12,18,24,3,4,4,12,2012-09-12 18:00:00
12-Sep-12,19,20,2,5,6,11,2012-09-12 19:00:00
12-Sep-12,20,20,2,2,3,9,2012-09-12 20:00:00
12-Sep-12,21,29,4,4,4,7,2012-09-12 21:00:00
12-Sep-12,22,18,2,4,5,7,2012-09-12 22:00:00
12-Sep-12,23,14,6,2,5,3,2012-09-12 23:00:00
13-Sep-12,0,11,11,0,2,0,2012-09-13 00:00:00
13-Sep-12,1,6,6,0,1,0,2012-09-13 01:00:00
13-Sep-12,2,5,5,0,3,0,2012-09-13 02:00:00
13-Sep-12,3,2,2,0,2,0,2012-09-13 03:00:00
13-Sep-12,4,1,1,0,0,0,2012-09-13 04:00:00
13-Sep-12,5,1,1,0,1,0,2012-09-13 05:00:00
13-Sep-12,6,4,1,2,2,2,2012-09-13 06:00:00
13-Sep-12,7,10,1,1,1,4,2012-09-13 07:00:00
13-Sep-12,8,9,1,1,1,8,2012-09-13 08:00:00
13-Sep-12,9,14,4,0,0,9,2012-09-13 09:00:00
13-Sep-12,10,15,3,2,2,10,2012-09-13 10:00:00
13-Sep-12,11,14,5,1,2,9,2012-09-13 11:00:00
13-Sep-12,12,18,3,4,5,10,2012-09-13 12:00:00
13-Sep-12,13,18,7,3,4,8,2012-09-13 13:00:00
13-Sep-12,14,12,3,0,1,10,2012-09-13 14:00:00
13-Sep-12,15,17,4,3,3,12,2012-09-13 15:00:00
13-Sep-12,16,23,1,2,3,14,2012-09-13 16:00:00
13-Sep-12,17,21,3,1,3,14,2012-09-13 17:00:00
13-Sep-12,18,21,3,3,3,11,2012-09-13 18:00:00
13-Sep-12,19,19,3,7,8,10,2012-09-13 19:00:00
13-Sep-12,20,13,0,3,3,9,2012-09-13 20:00:00
13-Sep-12,21,25,4,6,7,9,2012-09-13 21:00:00
13-Sep-12,22,25,2,2,3,7,2012-09-13 22:00:00
13-Sep-12,23,21,6,4,7,3,2012-09-13 23:00:00
14-Sep-12,0,10,1,3,4,3,2012-09-14 00:00:00
14-Sep-12,1,10,9,2,5,2,2012-09-14 01:00:00
14-Sep-12,2,5,3,1,3,1,2012-09-14 02:00:00
14-Sep-12,3,3,3,0,1,0,2012-09-14 03:00:00
14-Sep-12,4,1,1,0,1,0,2012-09-14 04:00:00
14-Sep-12,5,5,4,1,2,1,2012-09-14 05:00:00
14-Sep-12,6,7,2,2,3,4,2012-09-14 06:00:00
14-Sep-12,7,9,1,2,2,5,2012-09-14 07:00:00
14-Sep-12,8,10,1,1,1,7,2012-09-14 08:00:00
14-Sep-12,9,22,2,4,4,7,2012-09-14 09:00:00
14-Sep-12,10,11,5,1,2,10,2012-09-14 10:00:00
14-Sep-12,11,22,2,3,4,12,2012-09-14 11:00:00
14-Sep-12,12,18,2,3,4,11,2012-09-14 12:00:00
14-Sep-12,13,20,2,1,1,10,2012-09-14 13:00:00
14-Sep-12,14,23,3,1,2,7,2012-09-14 14:00:00
14-Sep-12,15,20,5,2,3,10,2012-09-14 15:00:00
14-Sep-12,16,18,3,3,4,11,2012-09-14 16:00:00
14-Sep-12,17,34,4,3,5,13,2012-09-14 17:00:00
14-Sep-12,18,40,2,8,9,14,2012-09-14 18:00:00
14-Sep-12,19,46,6,9,10,15,2012-09-14 19:00:00
14-Sep-12,20,38,4,8,9,14,2012-09-14 20:00:00
14-Sep-12,21,49,6,8,9,17,2012-09-14 21:00:00
14-Sep-12,22,60,3,18,20,19,2012-09-14 22:00:00
14-Sep-12,23,68,18,24,29,18,2012-09-14 23:00:00
15-Sep-12,0,45,2,23,24,19,2012-09-15 00:00:00
15-Sep-12,1,37,1,12,14,18,2012-09-15 01:00:00
15-Sep-12,2,38,17,22,27,12,2012-09-15 02:00:00
15-Sep-12,3,17,2,5,7,8,2012-09-15 03:00:00
15-Sep-12,4,5,1,0,0,1,2012-09-15 04:00:00
15-Sep-12,5,1,1,0,1,0,2012-09-15 05:00:00
15-Sep-12,6,3,3,0,0,0,2012-09-15 06:00:00
15-Sep-12,7,9,7,1,1,1,2012-09-15 07:00:00
15-Sep-12,8,13,10,2,3,2,2012-09-15 08:00:00
15-Sep-12,9,14,9,1,3,2,2012-09-15 09:00:00
15-Sep-12,10,20,5,2,3,2,2012-09-15 10:00:00
15-Sep-12,11,23,5,2,2,3,2012-09-15 11:00:00
15-Sep-12,12,28,11,2,2,3,2012-09-15 12:00:00
15-Sep-12,13,34,6,6,7,4,2012-09-15 13:00:00
15-Sep-12,14,34,11,6,10,6,2012-09-15 14:00:00
15-Sep-12,15,31,15,3,8,5,2012-09-15 15:00:00
15-Sep-12,16,20,3,4,5,8,2012-09-15 16:00:00
15-Sep-12,17,42,9,8,8,10,2012-09-15 17:00:00
15-Sep-12,18,59,25,15,25,10,2012-09-15 18:00:00
15-Sep-12,19,73,38,17,34,14,2012-09-15 19:00:00
15-Sep-12,20,53,15,13,20,17,2012-09-15 20:00:00
15-Sep-12,21,59,4,15,20,19,2012-09-15 21:00:00
15-Sep-12,22,69,26,24,34,16,2012-09-15 22:00:00
15-Sep-12,23,61,32,16,24,13,2012-09-15 23:00:00
16-Sep-12,0,44,2,17,20,15,2012-09-16 00:00:00
16-Sep-12,1,38,3,17,17,15,2012-09-16 01:00:00
16-Sep-12,2,29,2,13,15,12,2012-09-16 02:00:00
16-Sep-12,3,14,2,4,6,7,2012-09-16 03:00:00
16-Sep-12,4,6,6,0,3,2,2012-09-16 04:00:00
16-Sep-12,5,5,5,0,1,1,2012-09-16 05:00:00
16-Sep-12,6,3,3,0,2,0,2012-09-16 06:00:00
16-Sep-12,7,3,0,0,0,1,2012-09-16 07:00:00
16-Sep-12,8,8,2,1,2,3,2012-09-16 08:00:00
16-Sep-12,9,11,3,3,3,3,2012-09-16 09:00:00
16-Sep-12,10,20,2,1,1,4,2012-09-16 10:00:00
16-Sep-12,11,19,5,2,2,4,2012-09-16 11:00:00
16-Sep-12,12,18,3,3,4,7,2012-09-16 12:00:00
16-Sep-12,13,21,4,0,0,5,2012-09-16 13:00:00
16-Sep-12,14,23,13,4,7,5,2012-09-16 14:00:00
16-Sep-12,15,14,3,3,3,7,2012-09-16 15:00:00
16-Sep-12,16,25,5,3,3,10,2012-09-16 16:00:00
16-Sep-12,17,17,2,2,3,10,2012-09-16 17:00:00
16-Sep-12,18,18,1,3,3,10,2012-09-16 18:00:00
16-Sep-12,19,16,2,1,2,8,2012-09-16 19:00:00
16-Sep-12,20,25,10,7,10,7,2012-09-16 20:00:00
16-Sep-12,21,25,11,5,5,6,2012-09-16 21:00:00
16-Sep-12,22,13,2,2,3,4,2012-09-16 22:00:00
16-Sep-12,23,11,2,2,3,4,2012-09-16 23:00:00
17-Sep-12,0,11,5,0,2,2,2012-09-17 00:00:00
17-Sep-12,1,6,6,0,2,0,2012-09-17 01:00:00
17-Sep-12,2,3,3,0,1,0,2012-09-17 02:00:00
17-Sep-12,3,1,1,0,0,0,2012-09-17 03:00:00
17-Sep-12,4,2,1,0,1,0,2012-09-17 04:00:00
17-Sep-12,5,4,1,1,1,4,2012-09-17 05:00:00
17-Sep-12,6,7,0,4,4,5,2012-09-17 06:00:00
17-Sep-12,7,11,4,0,0,8,2012-09-17 07:00:00
17-Sep-12,8,6,1,1,1,10,2012-09-17 08:00:00
17-Sep-12,9,16,0,4,4,10,2012-09-17 09:00:00
17-Sep-12,10,21,4,1,3,10,2012-09-17 10:00:00
17-Sep-12,11,11,4,0,0,9,2012-09-17 11:00:00
17-Sep-12,12,13,1,2,2,9,2012-09-17 12:00:00
17-Sep-12,13,19,3,1,2,8,2012-09-17 13:00:00
17-Sep-12,14,19,3,0,1,8,2012-09-17 14:00:00
17-Sep-12,15,20,3,1,1,8,2012-09-17 15:00:00
17-Sep-12,16,23,7,3,5,7,2012-09-17 16:00:00
17-Sep-12,17,23,3,8,10,9,2012-09-17 17:00:00
17-Sep-12,18,35,7,8,9,12,2012-09-17 18:00:00
17-Sep-12,19,31,6,8,9,13,2012-09-17 19:00:00
17-Sep-12,20,21,2,4,4,11,2012-09-17 20:00:00
17-Sep-12,21,27,3,2,3,8,2012-09-17 21:00:00
17-Sep-12,22,18,1,6,6,8,2012-09-17 22:00:00
17-Sep-12,23,29,7,3,7,5,2012-09-17 23:00:00
18-Sep-12,0,28,18,3,13,4,2012-09-18 00:00:00
18-Sep-12,1,4,2,2,2,1,2012-09-18 01:00:00
18-Sep-12,2,9,9,0,7,0,2012-09-18 02:00:00
18-Sep-12,3,4,4,0,3,0,2012-09-18 03:00:00
18-Sep-12,4,1,1,0,0,0,2012-09-18 04:00:00
18-Sep-12,5,2,0,0,0,0,2012-09-18 05:00:00
18-Sep-12,6,2,0,0,0,3,2012-09-18 06:00:00
18-Sep-12,7,9,1,3,3,5,2012-09-18 07:00:00
18-Sep-12,8,11,1,2,2,9,2012-09-18 08:00:00
18-Sep-12,9,15,1,0,1,11,2012-09-18 09:00:00
18-Sep-12,10,16,2,0,1,9,2012-09-18 10:00:00
18-Sep-12,11,12,2,2,4,9,2012-09-18 11:00:00
18-Sep-12,12,18,2,3,3,10,2012-09-18 12:00:00
18-Sep-12,13,17,3,0,0,11,2012-09-18 13:00:00
18-Sep-12,14,20,2,1,4,7,2012-09-18 14:00:00
18-Sep-12,15,17,4,1,3,7,2012-09-18 15:00:00
18-Sep-12,16,20,5,3,3,6,2012-09-18 16:00:00
18-Sep-12,17,18,4,3,4,7,2012-09-18 17:00:00
18-Sep-12,18,17,4,1,1,9,2012-09-18 18:00:00
18-Sep-12,19,26,4,6,8,8,2012-09-18 19:00:00
18-Sep-12,20,21,3,2,5,5,2012-09-18 20:00:00
18-Sep-12,21,24,6,4,5,5,2012-09-18 21:00:00
18-Sep-12,22,17,5,5,6,4,2012-09-18 22:00:00
18-Sep-12,23,14,11,1,3,4,2012-09-18 23:00:00
19-Sep-12,0,9,1,0,0,3,2012-09-19 00:00:00
19-Sep-12,1,3,0,0,0,3,2012-09-19 01:00:00
19-Sep-12,2,3,0,2,2,1,2012-09-19 02:00:00
19-Sep-12,3,1,1,0,1,0,2012-09-19 03:00:00
19-Sep-12,4,1,1,0,0,0,2012-09-19 04:00:00
19-Sep-12,5,2,0,0,0,1,2012-09-19 05:00:00
19-Sep-12,6,7,1,2,3,5,2012-09-19 06:00:00
19-Sep-12,7,8,0,2,2,7,2012-09-19 07:00:00
19-Sep-12,8,11,1,2,2,6,2012-09-19 08:00:00
19-Sep-12,9,14,3,0,0,10,2012-09-19 09:00:00
19-Sep-12,10,12,3,0,2,12,2012-09-19 10:00:00
19-Sep-12,11,16,3,4,5,12,2012-09-19 11:00:00
19-Sep-12,12,19,3,1,1,11,2012-09-19 12:00:00
19-Sep-12,13,14,4,3,4,7,2012-09-19 13:00:00
19-Sep-12,14,9,2,1,1,8,2012-09-19 14:00:00
19-Sep-12,15,17,2,0,0,9,2012-09-19 15:00:00
19-Sep-12,16,22,5,2,4,10,2012-09-19 16:00:00
19-Sep-12,17,22,1,2,3,16,2012-09-19 17:00:00
19-Sep-12,18,28,5,3,3,13,2012-09-19 18:00:00
19-Sep-12,19,18,2,2,2,13,2012-09-19 19:00:00
19-Sep-12,20,19,1,2,2,12,2012-09-19 20:00:00
19-Sep-12,21,25,2,2,5,10,2012-09-19 21:00:00
19-Sep-12,22,23,3,9,10,9,2012-09-19 22:00:00
19-Sep-12,23,16,2,2,2,8,2012-09-19 23:00:00
20-Sep-12,0,10,4,2,3,4,2012-09-20 00:00:00
20-Sep-12,1,1,0,0,1,1,2012-09-20 01:00:00
20-Sep-12,2,2,2,0,1,0,2012-09-20 02:00:00
20-Sep-12,3,2,2,0,2,0,2012-09-20 03:00:00
20-Sep-12,4,2,2,0,0,0,2012-09-20 04:00:00
20-Sep-12,5,1,1,0,0,0,2012-09-20 05:00:00
20-Sep-12,6,3,1,1,1,2,2012-09-20 06:00:00
20-Sep-12,7,5,2,2,2,4,2012-09-20 07:00:00
20-Sep-12,8,7,1,1,2,6,2012-09-20 08:00:00
20-Sep-12,9,11,2,1,2,7,2012-09-20 09:00:00
20-Sep-12,10,16,2,2,2,9,2012-09-20 10:00:00
20-Sep-12,11,15,3,2,3,12,2012-09-20 11:00:00
20-Sep-12,12,16,2,3,3,12,2012-09-20 12:00:00
20-Sep-12,13,15,2,0,0,11,2012-09-20 13:00:00
20-Sep-12,14,19,4,1,2,11,2012-09-20 14:00:00
20-Sep-12,15,18,5,2,3,12,2012-09-20 15:00:00
20-Sep-12,16,21,2,4,5,9,2012-09-20 16:00:00
20-Sep-12,17,37,4,5,9,8,2012-09-20 17:00:00
20-Sep-12,18,26,5,3,4,11,2012-09-20 18:00:00
20-Sep-12,19,36,7,14,16,13,2012-09-20 19:00:00
20-Sep-12,20,26,3,4,6,11,2012-09-20 20:00:00
20-Sep-12,21,30,5,6,8,13,2012-09-20 21:00:00
20-Sep-12,22,40,7,12,15,13,2012-09-20 22:00:00
20-Sep-12,23,16,0,5,5,10,2012-09-20 23:00:00
21-Sep-12,0,22,1,10,11,9,2012-09-21 00:00:00
21-Sep-12,1,9,1,5,5,7,2012-09-21 01:00:00
21-Sep-12,2,5,0,1,2,5,2012-09-21 02:00:00
21-Sep-12,3,3,3,0,0,0,2012-09-21 03:00:00
21-Sep-12,4,0,0,0,0,0,2012-09-21 04:00:00
21-Sep-12,5,1,1,0,0,0,2012-09-21 05:00:00
21-Sep-12,6,6,3,0,2,2,2012-09-21 06:00:00
21-Sep-12,7,7,3,0,0,4,2012-09-21 07:00:00
21-Sep-12,8,3,0,0,0,6,2012-09-21 08:00:00
21-Sep-12,9,8,0,1,1,7,2012-09-21 09:00:00
21-Sep-12,10,17,4,0,1,8,2012-09-21 10:00:00
21-Sep-12,11,23,5,1,1,10,2012-09-21 11:00:00
21-Sep-12,12,22,3,1,1,9,2012-09-21 12:00:00
21-Sep-12,13,34,4,5,7,9,2012-09-21 13:00:00
21-Sep-12,14,35,5,9,10,12,2012-09-21 14:00:00
21-Sep-12,15,30,3,4,7,12,2012-09-21 15:00:00
21-Sep-12,16,49,4,11,12,15,2012-09-21 16:00:00
21-Sep-12,17,68,25,26,26,20,2012-09-21 17:00:00
21-Sep-12,18,62,6,15,22,26,2012-09-21 18:00:00
21-Sep-12,19,47,3,16,19,30,2012-09-21 19:00:00
21-Sep-12,20,63,8,14,21,28,2012-09-21 20:00:00
21-Sep-12,21,59,8,12,17,27,2012-09-21 21:00:00
21-Sep-12,22,73,4,23,29,26,2012-09-21 22:00:00
21-Sep-12,23,94,30,36,46,26,2012-09-21 23:00:00
22-Sep-12,0,62,4,19,27,27,2012-09-22 00:00:00
22-Sep-12,1,39,5,17,24,24,2012-09-22 01:00:00
22-Sep-12,2,30,0,9,18,12,2012-09-22 02:00:00
22-Sep-12,3,11,3,3,3,8,2012-09-22 03:00:00
22-Sep-12,4,6,4,2,3,1,2012-09-22 04:00:00
22-Sep-12,5,5,4,1,2,0,2012-09-22 05:00:00
22-Sep-12,6,5,5,0,1,0,2012-09-22 06:00:00
22-Sep-12,7,8,3,0,0,1,2012-09-22 07:00:00
22-Sep-12,8,15,5,3,5,3,2012-09-22 08:00:00
22-Sep-12,9,15,5,1,1,6,2012-09-22 09:00:00
22-Sep-12,10,30,7,3,3,9,2012-09-22 10:00:00
22-Sep-12,11,33,6,5,7,9,2012-09-22 11:00:00
22-Sep-12,12,34,5,12,14,9,2012-09-22 12:00:00
22-Sep-12,13,61,25,12,17,10,2012-09-22 13:00:00
22-Sep-12,14,62,10,16,21,15,2012-09-22 14:00:00
22-Sep-12,15,75,15,18,23,16,2012-09-22 15:00:00
22-Sep-12,16,58,17,15,18,16,2012-09-22 16:00:00
22-Sep-12,17,41,2,8,10,20,2012-09-22 17:00:00
22-Sep-12,18,49,7,11,13,16,2012-09-22 18:00:00
22-Sep-12,19,43,10,21,24,15,2012-09-22 19:00:00
22-Sep-12,20,49,4,7,14,18,2012-09-22 20:00:00
22-Sep-12,21,53,3,15,19,21,2012-09-22 21:00:00
22-Sep-12,22,77,11,25,33,19,2012-09-22 22:00:00
22-Sep-12,23,99,59,25,44,17,2012-09-22 23:00:00
23-Sep-12,0,62,25,23,32,18,2012-09-23 00:00:00
23-Sep-12,1,38,1,15,23,18,2012-09-23 01:00:00
23-Sep-12,2,34,4,13,18,18,2012-09-23 02:00:00
23-Sep-12,3,19,1,9,9,16,2012-09-23 03:00:00
23-Sep-12,4,1,0,0,1,4,2012-09-23 04:00:00
23-Sep-12,5,9,9,0,4,0,2012-09-23 05:00:00
23-Sep-12,6,8,7,1,1,1,2012-09-23 06:00:00
23-Sep-12,7,7,3,2,2,2,2012-09-23 07:00:00
23-Sep-12,8,13,3,0,0,4,2012-09-23 08:00:00
23-Sep-12,9,14,4,0,1,6,2012-09-23 09:00:00
23-Sep-12,10,19,3,2,2,9,2012-09-23 10:00:00
23-Sep-12,11,20,3,3,5,8,2012-09-23 11:00:00
23-Sep-12,12,25,3,2,4,8,2012-09-23 12:00:00
23-Sep-12,13,15,4,3,3,9,2012-09-23 13:00:00
23-Sep-12,14,20,2,4,4,7,2012-09-23 14:00:00
23-Sep-12,15,22,4,0,2,9,2012-09-23 15:00:00
23-Sep-12,16,22,0,7,8,11,2012-09-23 16:00:00
23-Sep-12,17,31,9,4,6,12,2012-09-23 17:00:00
23-Sep-12,18,36,4,8,11,12,2012-09-23 18:00:00
23-Sep-12,19,32,9,4,6,11,2012-09-23 19:00:00
23-Sep-12,20,29,6,3,3,7,2012-09-23 20:00:00
23-Sep-12,21,24,6,3,4,5,2012-09-23 21:00:00
23-Sep-12,22,17,2,2,2,6,2012-09-23 22:00:00
23-Sep-12,23,9,3,3,3,3,2012-09-23 23:00:00
24-Sep-12,0,7,2,1,2,2,2012-09-24 00:00:00
24-Sep-12,1,7,7,0,0,0,2012-09-24 01:00:00
24-Sep-12,2,3,3,0,2,0,2012-09-24 02:00:00
24-Sep-12,3,3,3,0,1,0,2012-09-24 03:00:00
24-Sep-12,4,1,1,0,0,0,2012-09-24 04:00:00
24-Sep-12,5,4,2,1,1,3,2012-09-24 05:00:00
24-Sep-12,6,9,1,2,2,7,2012-09-24 06:00:00
